date_time,open,high,low,close,CCI
2017-03-14 09:15,23871.0,23918.12,23841.28,23863.23,120.1468613858725
2017-03-14 10:15,23868.26,23868.79,23791.49,23834.85,89.83176053975289
2017-03-14 11:15,23830.11,23851.55,23822.28,23842.39,86.4707008942799
2017-03-14 12:15,23839.85,23854.34,23828.48,23842.42,83.40020998999026
2017-03-14 13:15,23842.06,23847.31,23790.2,23791.11,66.97099341795148
2017-03-14 14:15,23793.01,23814.93,23768.34,23803.18,59.67589922302956
2017-03-14 15:15,23801.71,23827.95,23773.76,23827.95,64.83972772573031
2017-03-15 09:15,23705.07,23747.73,23645.51,23697.39,12.081779179839975
2017-03-15 10:15,23699.45,23800.71,23689.57,23798.31,44.477064339229386
2017-03-15 11:15,23795.37,23824.07,23776.74,23815.03,61.04868966445413
2017-03-15 12:15,23812.69,23841.07,23796.56,23835.86,66.31215733233823
2017-03-15 13:15,23838.42,23842.81,23792.77,23823.88,60.49757860428778
2017-03-15 14:15,23824.33,23831.32,23762.49,23766.02,41.12288839813634
2017-03-15 15:15,23765.42,23807.82,23762.82,23792.85,38.877018803580825
2017-03-16 09:15,24101.98,24161.49,24022.37,24030.26,184.38781086480148
2017-03-16 10:15,24030.26,24091.87,24003.75,24041.19,166.2944422322093
2017-03-16 11:15,24034.86,24111.27,24033.99,24104.06,181.45841751549423
2017-03-16 12:15,24104.97,24117.38,24095.37,24112.08,192.20023044231445
2017-03-16 13:15,24112.21,24161.28,24104.72,24138.64,199.66461745170085
2017-03-16 14:15,24137.65,24231.2,24129.07,24212.49,211.38279455378253
2017-03-16 15:15,24208.46,24288.28,24196.29,24288.28,210.8200347423991
2017-03-17 09:15,24376.13,24385.81,24254.33,24272.71,198.1802937125248
2017-03-17 10:15,24275.22,24378.85,24275.22,24366.17,183.55267077945092
2017-03-17 11:15,24363.56,24376.47,24343.31,24354.89,166.29746075833395
2017-03-17 12:15,24353.42,24360.62,24341.11,24350.9,144.45732443909142
2017-03-17 13:15,24346.28,24378.54,24300.88,24307.65,122.87564800837612
2017-03-17 14:15,24309.41,24317.77,24237.97,24299.53,98.60452452683005
2017-03-17 15:15,24297.77,24314.32,24261.41,24309.93,93.9869329048751
2017-03-20 09:15,24312.57,24391.11,24312.57,24354.97,103.93941607617288
2017-03-20 10:15,24358.46,24461.04,24356.17,24442.51,115.67322726402166
2017-03-20 11:15,24443.6,24475.76,24432.11,24447.91,116.08837886367296
2017-03-20 12:15,24447.46,24485.73,24444.71,24471.44,112.47072874447841
2017-03-20 13:15,24469.89,24479.92,24420.5,24445.95,99.99342192279776
2017-03-20 14:15,24446.17,24473.84,24438.96,24459.56,96.0071218014153
2017-03-20 15:15,24458.78,24501.99,24437.27,24501.99,96.51741417266344
2017-03-21 09:15,24565.73,24656.65,24500.35,24588.62,118.37571078616124
